index,page,row,school_info,question_source,answer_source,question_url,answer_url,question_path,answer_path
1,1,3,"太平國小 / 臺北市 / 1年級 英語 / 112下 期末2 / 康軒",1005165668c8f94cd01c.pdf,1005165668c8f94cd3fa.pdf,https://www.tcool.cc/d/q/1005165668c8f94cd01c.pdf,https://www.tcool.cc/d/a/1005165668c8f94cd3fa.pdf,questions/Q_1005165668c8f94cd01c.pdf,answers/A_1005165668c8f94cd3fa.pdf
2,1,4,"太平國小 / 臺北市 / 1年級 英語 / 112下 期中1 / 康軒",1005165668c8f94cc58f.pdf,1005165668c8f94cca2c.pdf,https://www.tcool.cc/d/q/1005165668c8f94cc58f.pdf,https://www.tcool.cc/d/a/1005165668c8f94cca2c.pdf,questions/Q_1005165668c8f94cc58f.pdf,answers/A_1005165668c8f94cca2c.pdf
3,1,5,"太平國小 / 臺北市 / 1年級 英語 / 112上 期末2 / 康軒",100516565af1460b0583.pdf,100516565af1460b09dd.pdf,https://www.tcool.cc/d/q/100516565af1460b0583.pdf,https://www.tcool.cc/d/a/100516565af1460b09dd.pdf,questions/Q_100516565af1460b0583.pdf,answers/A_100516565af1460b09dd.pdf
4,1,6,"四維國小 / 臺中市 / 1年級 英語 / 110上 期中1 / 康軒",100488161832e2c58699.pdf,100488161832e2c5884f.pdf,https://www.tcool.cc/d/q/100488161832e2c58699.pdf,https://www.tcool.cc/d/a/100488161832e2c5884f.pdf,questions/Q_100488161832e2c58699.pdf,answers/A_100488161832e2c5884f.pdf
5,1,7,"成德國小 / 臺北市 / 1年級 英語 / 109下 期中1 / 康軒",100524560ebd122b20c2.pdf,100524560ebd122b22e0.pdf,https://www.tcool.cc/d/q/100524560ebd122b20c2.pdf,https://www.tcool.cc/d/a/100524560ebd122b22e0.pdf,questions/Q_100524560ebd122b20c2.pdf,answers/A_100524560ebd122b22e0.pdf
6,1,8,"成德國小 / 臺北市 / 1年級 英語 / 108下 期末2 / 康軒",1005245606568eb16a4f.pdf,1005245606568eb16d28.pdf,https://www.tcool.cc/d/q/1005245606568eb16a4f.pdf,https://www.tcool.cc/d/a/1005245606568eb16d28.pdf,questions/Q_1005245606568eb16a4f.pdf,answers/A_1005245606568eb16d28.pdf
7,1,9,"四維國小 / 臺中市 / 1年級 英語 / 108下 期末2 / 康軒",10048815fb47423ba341.pdf,10048815fb47423ba73e.pdf,https://www.tcool.cc/d/q/10048815fb47423ba341.pdf,https://www.tcool.cc/d/a/10048815fb47423ba73e.pdf,questions/Q_10048815fb47423ba341.pdf,answers/A_10048815fb47423ba73e.pdf
8,1,10,"成德國小 / 臺北市 / 1年級 英語 / 108下 期中1 / 康軒",1005245606562f641205.pdf,1005245606562f641436.pdf,https://www.tcool.cc/d/q/1005245606562f641205.pdf,https://www.tcool.cc/d/a/1005245606562f641436.pdf,questions/Q_1005245606562f641205.pdf,answers/A_1005245606562f641436.pdf
9,2,1,"四維國小 / 臺中市 / 1年級 英語 / 108下 期中1 / 康軒",1004881602f7930a21e3.pdf,1004881602f7930ae7f3.pdf,https://www.tcool.cc/d/q/1004881602f7930a21e3.pdf,https://www.tcool.cc/d/a/1004881602f7930ae7f3.pdf,questions/Q_1004881602f7930a21e3.pdf,answers/A_1004881602f7930ae7f3.pdf
10,2,2,"四維國小 / 臺中市 / 1年級 英語 / 108上 期末2 / 康軒",10048815eb35e388d5df.pdf,10048815eb35e388d98e.pdf,https://www.tcool.cc/d/q/10048815eb35e388d5df.pdf,https://www.tcool.cc/d/a/10048815eb35e388d98e.pdf,questions/Q_10048815eb35e388d5df.pdf,answers/A_10048815eb35e388d98e.pdf
11,2,3,"四維國小 / 臺中市 / 1年級 英語 / 108上 期中1 / 康軒",10048815dc50ae50c88b.pdf,10048815dc50ae50cbb5.pdf,https://www.tcool.cc/d/q/10048815dc50ae50c88b.pdf,https://www.tcool.cc/d/a/10048815dc50ae50cbb5.pdf,questions/Q_10048815dc50ae50c88b.pdf,answers/A_10048815dc50ae50cbb5.pdf
